date,open,close
2020-01-02,1005.617,1019.723
2020-01-03,1021.669,1024.482
2020-01-06,1019.999,1027.277
2020-01-07,1025.663,1043.083
2020-01-08,1035.836,1051.16
2020-01-09,1060.58,1078.312
2020-01-10,1082.31,1076.438
2020-01-13,1076.762,1105.848
2020-01-14,1107.776,1118.306
2020-01-15,1113.252,1114.766
2020-01-16,1116.508,1154.303
2020-01-17,1159.372,1238.664
2020-01-20,1239.439,1240.509
2020-01-21,1233.646,1195.014
2020-01-22,1178.784,1244.525
2020-01-23,1219.233,1202.102
2020-02-03,1018.276,1030.55
2020-02-04,1049.956,1153.232
2020-02-05,1166.973,1203.613
2020-02-06,1191.731,1238.757
2020-02-07,1240.038,1307.757
2020-02-10,1310.526,1322.25
2020-02-11,1318.42,1283.572
2020-02-12,1274.796,1348.702
2020-02-13,1360.129,1360.709
2020-02-14,1359.373,1327.224
2020-02-17,1332.965,1381.553
2020-02-18,1381.583,1399.384
2020-02-19,1398.781,1373.444
2020-02-20,1377.756,1348.338
2020-02-21,1337.557,1346.863
2020-02-24,1341.988,1351.71
2020-02-25,1312.479,1367.368
2020-02-26,1348.075,1288.242
2020-02-27,1293.187,1264.941
2020-02-28,1206.858,1191.055
2020-03-02,1202.959,1252.624
2020-03-03,1278.269,1285.034
2020-03-04,1268.834,1255.723
2020-03-05,1277.706,1264.788
2020-03-06,1246.096,1243.373
2020-03-09,1216.035,1171.859
2020-03-10,1148.397,1216.328
2020-03-11,1218.516,1184.71
2020-03-12,1161.922,1167.065
2020-03-13,1103.956,1175.282
2020-03-16,1188.078,1115.084
2020-03-17,1132.949,1131.547
2020-03-18,1145.302,1115.019
2020-03-19,1116.263,1128.973
2020-03-20,1140.092,1127.369
2020-03-23,1092.501,1039.884
2020-03-24,1067.014,1060.843
2020-03-25,1097.309,1101.319
2020-03-26,1093.331,1095.338
2020-03-27,1109.542,1084.505
2020-03-30,1062.899,1035.827
2020-03-31,1048.736,1029.749
2020-04-01,1026.575,1037.927
2020-04-02,1033.559,1094.826
2020-04-03,1089.242,1080.53
2020-04-07,1109.611,1111.654
2020-04-08,1104.955,1104.145
2020-04-09,1107.474,1101.281
2020-04-10,1100.368,1058.44
2020-04-13,1048.206,1042.145
2020-04-14,1049.212,1073.217
2020-04-15,1076.941,1088.203
2020-04-16,1080.873,1091.933
2020-04-17,1102.657,1117.07
2020-04-20,1119.259,1133.361
2020-04-21,1127.658,1119.229
2020-04-22,1108.683,1135.849
2020-04-23,1140.801,1149.716
2020-04-24,1148.59,1144.153
2020-04-27,1140.194,1138.1
2020-04-28,1130.615,1113.513
2020-04-29,1105.6,1102.698
2020-04-30,1107.426,1166.348
2020-05-06,1155.117,1247.513
2020-05-07,1249.636,1224.105
2020-05-08,1230.907,1240.246
2020-05-11,1244.303,1226.061
2020-05-12,1222.387,1233.592
2020-05-13,1227.722,1247.034
2020-05-14,1241.844,1242.169
2020-05-15,1244.741,1270.481
2020-05-18,1279.29,1254.299
2020-05-19,1260.221,1324.418
2020-05-20,1317.404,1306.998
2020-05-21,1305.912,1251.931
2020-05-22,1247.605,1230.659
2020-05-25,1223.866,1212.087
2020-05-26,1217.622,1272.661
2020-05-27,1271.457,1253.272
2020-05-28,1251.059,1232.22
2020-05-29,1227.2,1246.111
2020-06-01,1257.966,1300.741
2020-06-02,1305.797,1305.637
2020-06-03,1305.734,1294.28
2020-06-04,1295.155,1299.803
2020-06-05,1300.254,1297.306
2020-06-08,1306.497,1280.053
2020-06-09,1277.447,1278.507
2020-06-10,1278.074,1269.978
2020-06-11,1270.724,1273.59
2020-06-12,1246.803,1262.29
2020-06-15,1262.476,1249.909
2020-06-16,1259.086,1289.135
2020-06-17,1291.035,1291.117
2020-06-18,1289.765,1302.371
2020-06-19,1301.021,1325.147
2020-06-22,1347.942,1371.207
2020-06-23,1365.329,1407.193
2020-06-24,1408.548,1424.277
2020-06-29,1415.911,1401.644
2020-06-30,1410.577,1447.886
2020-07-01,1453.252,1439.878
2020-07-02,1439.009,1437.052
2020-07-03,1435.082,1438.585
2020-07-06,1445.607,1538.402
2020-07-07,1550.296,1572.189
2020-07-08,1572.776,1599.905
2020-07-09,1596.984,1666.85
2020-07-10,1653.505,1654.827
2020-07-13,1647.183,1721.976
2020-07-14,1714.871,1701.583
2020-07-15,1702.581,1612.035
2020-07-16,1606.435,1469.798
2020-07-17,1475.464,1443.397
2020-07-20,1459.784,1459.034
2020-07-21,1456.487,1490.171
2020-07-22,1474.015,1497.231
2020-07-23,1487.197,1494.139
2020-07-24,1467.103,1389.305
2020-07-27,1396.488,1374.519
2020-07-28,1385.793,1400.535
2020-07-29,1400.92,1476.925
2020-07-30,1484.43,1472.792
2020-07-31,1469.1,1512.977
2020-08-03,1533.227,1622.813
2020-08-04,1620.795,1566.055
2020-08-05,1592.388,1588.622
2020-08-06,1582.475,1573.869
2020-08-07,1561.856,1526.804
2020-08-10,1520.103,1535.597
2020-08-11,1531.605,1491.841
2020-08-12,1485.557,1458.643
2020-08-13,1465.605,1468.229
2020-08-14,1466.795,1484.041
2020-08-17,1486.813,1496.4
2020-08-18,1496.421,1512.509
2020-08-19,1516.976,1472.021
2020-08-20,1460.035,1442.579
2020-08-21,1447.801,1447.714
2020-08-24,1453.492,1450.667
2020-08-25,1449.538,1427.705
2020-08-26,1422.003,1383.305
2020-08-27,1389.94,1417.559
2020-08-28,1415.649,1413.637
2020-08-31,1417.664,1423.236
2020-09-01,1424.433,1426.651
2020-09-02,1430.867,1422.953
2020-09-03,1422.415,1402.144
2020-09-04,1377.394,1390.284
2020-09-07,1387.493,1356.699
2020-09-08,1356.821,1344.613
2020-09-09,1331.429,1298.079
2020-09-10,1309.316,1280.189
2020-09-11,1279.841,1312.512
2020-09-14,1334.985,1348.07
2020-09-15,1348.788,1364.603
2020-09-16,1363.319,1349.672
2020-09-17,1347.454,1383.59
2020-09-18,1386.382,1403.899
2020-09-21,1407.069,1397.746
2020-09-22,1389.783,1390.086
2020-09-23,1401.375,1423.904
2020-09-24,1412.157,1394.926
2020-09-25,1399.388,1364.025
2020-09-28,1367.462,1338.952
2020-09-29,1345.991,1389.963
2020-09-30,1394.863,1418.796
2020-10-09,1446.516,1465.959
2020-10-12,1475.258,1490.575
2020-10-13,1491.855,1497.596
2020-10-14,1495.34,1488.67
2020-10-15,1489.381,1453.789
2020-10-16,1457.151,1438.528
2020-10-19,1444.841,1412.148
2020-10-20,1413.866,1426.181
2020-10-21,1427.236,1396.977
2020-10-22,1395.131,1376.581
2020-10-23,1380.37,1336.527
2020-10-26,1332.684,1356.107
2020-10-27,1359.176,1385.745
2020-10-28,1396.56,1406.075
2020-10-29,1394.28,1412.055
2020-10-30,1413.511,1393.91
2020-11-02,1402.083,1400.912
2020-11-03,1403.643,1449.007
2020-11-04,1454.73,1458.896
2020-11-05,1477.614,1475.375
2020-11-06,1477.528,1441.474
2020-11-09,1446.472,1485.148
2020-11-10,1483.656,1441.965
2020-11-11,1440.779,1395.51
2020-11-12,1404.81,1413.294
2020-11-13,1406.685,1436.887
2020-11-16,1520.274,1446.951
2020-11-17,1455.231,1430.809
2020-11-18,1431.659,1419.226
2020-11-19,1415.637,1435.925
2020-11-20,1433.947,1430.72
2020-11-23,1429.389,1418.102
2020-11-24,1412.025,1412.747
2020-11-25,1414.189,1388.364
2020-11-26,1386.214,1385.31
2020-11-27,1386.655,1387.769
2020-11-30,1392.954,1385.483
2020-12-01,1386.578,1404.238
2020-12-02,1408.67,1408.488
2020-12-03,1410.435,1410.829
2020-12-04,1409.592,1404.866
2020-12-07,1410.498,1406.194
2020-12-08,1405.719,1398.73
2020-12-09,1400.567,1365.038
2020-12-10,1363.003,1360.184
2020-12-11,1362.344,1362.961
2020-12-14,1361.607,1375.064
2020-12-15,1373.959,1363.183
2020-12-16,1357.222,1345.133
2020-12-17,1343.281,1363.36
2020-12-18,1381.482,1361.108
2020-12-21,1359.685,1388.669
2020-12-22,1383.289,1358.619
2020-12-23,1359.728,1376.595
2020-12-24,1378.384,1348.013
2020-12-25,1348.472,1349.793
2020-12-28,1345.299,1339.007
2020-12-29,1338.24,1337.47
2020-12-30,1336.72,1362.911
2020-12-31,1370.441,1393.027
2021-01-04,1398.956,1422.125
2021-01-05,1413.182,1425.16
2021-01-06,1430.068,1415.022
2021-01-07,1414.897,1381.942
2021-01-08,1382.149,1378.74
2021-01-11,1385.353,1390.655
2021-01-12,1389.467,1405.223
2021-01-13,1412.073,1407.415
2021-01-14,1406.05,1447.267
2021-01-15,1450.857,1447.583
2021-01-18,1443.82,1481.249
2021-01-19,1485.463,1443.921
2021-01-20,1450.718,1481.453
2021-01-21,1485.65,1482.285
2021-01-22,1482.646,1486.308
2021-01-25,1481.738,1498.595
2021-01-26,1497.999,1478.451
2021-01-27,1481.486,1458.372
2021-01-28,1441.398,1421.587
2021-01-29,1435.284,1421.962
2021-02-01,1419.18,1421.481
2021-02-02,1419.711,1438.059
2021-02-03,1436.004,1410.147
2021-02-04,1402.089,1394.097
2021-02-05,1396.125,1368.8
2021-02-08,1371.754,1382.482
2021-02-09,1389.065,1427.682
2021-02-10,1424.774,1437.025
2021-02-18,1457.797,1429.74
2021-02-19,1426.101,1427.907
2021-02-22,1431.558,1389.916
2021-02-23,1371.627,1390.527
2021-02-24,1393.719,1365.637
2021-02-25,1373.844,1349.711
2021-02-26,1319.89,1325.587
2021-03-01,1339.994,1358.141
2021-03-02,1373.032,1352.044
2021-03-03,1350.007,1359.398
2021-03-04,1358.283,1324.158
2021-03-05,1307.064,1329.839
2021-03-08,1337.021,1275.456
2021-03-09,1275.323,1230.137
2021-03-10,1251.183,1232.735
2021-03-11,1241.103,1267.301
2021-03-12,1268.442,1261.325
2021-03-15,1254.675,1223.39
2021-03-16,1223.796,1220.367
2021-03-17,1220.446,1236.541
2021-03-18,1241.563,1241.31
2021-03-19,1226.414,1231.292
2021-03-22,1229.467,1242.756
2021-03-23,1246.361,1236.474
2021-03-24,1228.605,1221.447
2021-03-25,1212.83,1219.71
2021-03-26,1224.644,1256.664
2021-03-29,1262.291,1250.77
2021-03-30,1250.282,1248.342
2021-03-31,1248.161,1248.332
2021-04-01,1250.998,1266.745
2021-04-02,1276.034,1299.92
2021-04-06,1304.642,1296.62
2021-04-07,1296.817,1298.785
2021-04-08,1293.641,1291.857
2021-04-09,1290.315,1271.443
2021-04-12,1269.017,1243.496
2021-04-13,1242.758,1241.398
2021-04-14,1243.245,1254.71
2021-04-15,1250.359,1264.158
2021-04-16,1265.15,1274.702
2021-04-19,1273.08,1299.007
2021-04-20,1295.611,1290.503
2021-04-21,1285.312,1286.855
2021-04-22,1288.583,1305.181
2021-04-23,1303.293,1311.827
2021-04-26,1315.515,1314.907
2021-04-27,1310.659,1311.913
2021-04-28,1318.548,1324.236
2021-04-29,1320.888,1324.055
2021-04-30,1319.008,1322.24
2021-05-06,1321.214,1310.125
2021-05-07,1311.657,1263.897
2021-05-10,1262.484,1254.486
2021-05-11,1243.809,1258.107
2021-05-12,1254.738,1270.908
2021-05-13,1257.867,1275.477
2021-05-14,1277.969,1300.535
2021-05-17,1303.083,1328.917
2021-05-18,1330.472,1321.641
2021-05-19,1320.68,1326.143
2021-05-20,1322.046,1329.791
2021-05-21,1334.601,1315.207
2021-05-24,1314.792,1330.872
2021-05-25,1329.676,1370.121
2021-05-26,1371.782,1364.037
2021-05-27,1362.947,1397.769
2021-05-28,1395.427,1386.039
2021-05-31,1398.193,1442.668
2021-06-01,1437.317,1460.543
2021-06-02,1461.736,1426.847
2021-06-03,1425.796,1414.534
2021-06-04,1406.315,1431.522
2021-06-07,1443.862,1433.565
2021-06-08,1443.745,1419.075
2021-06-09,1420.306,1427.321
2021-06-10,1427.871,1450.404
2021-06-11,1453.6,1436.276
2021-06-15,1442.087,1448.2
2021-06-16,1452.946,1406.47
2021-06-17,1409.047,1473.512
2021-06-18,1475.209,1494.701
2021-06-21,1485.66,1528.127
2021-06-22,1531.52,1523.363
2021-06-23,1530.636,1534.301
